,comment,upvote,time
0,ਪੰਜਾਬੀ ਇੰਡਸਟਰੀ ਦਾ ਸਭ ਤੋਂ ਵੱਡਾ ਗਾਣਾ ਕੋਂਣ ਕੋਂਣ ਮੰਨਦਾ ਇਸ ਗੱਲ ਨੂੰ ,1K,1 year ago
1,"7ਮਹੀਨੇ ਬਾਅਦ ਵੀ ਸੋਂਗ ਸੁਣ ਕੇ ਨਵਾ ਨਵਾ ਜਿਹਾ ਲਗਦਾ , ਮਾਨ ਸਾਬ great",39,11 months ago
2,"ਪੰਜਾਬੀ ਇੰਡਸਟਰੀ ਦਾ ਮਹਾਨ ਸਿੰਗਰ ਸਿਰਫ ਨਾਮ ਹੀ ਕਾਫੀ ਐ
ਅਪਣੇ ਫੈਨਾਂ ਦਾ ਫੈਨ
ਉਸਤਾਦ ਬੱਬੂ ਮਾਨ ਸਾਹਿਬ ਜੀ।",110,1 year ago
3, ਮੇਰੀ ਜਾਨ BABBU MAAN,3,4 months ago
4,"10 million cross 
ਅਸਲੀ ਹੈ ਬਾਈ ਅਸਲੀ 
ਮਾਨ ਸਾਹਬ ",169,1 year ago
5,Legend of Punjab #BabbuMaan,2,3 months ago
6,22ਯਾਰ ਮੈਂ ਵੀ ਗੀਤ ਰਿਕਾਰਡ ਕਰਵਾਉਣਾ ਲਾਇਕ ਕਰਕੇ ਮੇਰਾ ਹੌਂਸਲਾ ਵਧਾਉ ਜੀ,360,1 year ago
7,ਅੱਜ ਕੱਲ ਦੇ ਜਵਾਕਾਂ ਵਿੱਚ ਓ ਗੱਲ ਕਿੱਥੇ.... ਮਾਨਾ ਜੋ ਤੂ ਗਾ ਦਿੱਤਾ ਸਾਨੇੰ ਓਹੀ ਪਰਵਾਨ,64,1 year ago
8,"Maan saab tuhanu bhut sara pyaar te respect
Rabb tuhanu chardi kala ch rakhe te lammbbi umar bakhshe",25,3 months ago
9,Proud to be maan saab ,20,1 year ago
10,Love you brother Babbu maan,3,2 months ago
11,"ਸਾਰੇ ਕੱਟੜ ਫੈਨ ਹਾਜ਼ਰੀ ਲਵਾਓ,
ਲਾਈਕ ਕੁਮੈਂਟ ਸ਼ੇਅਰ ਕਰਕੇ ਰਿਕਾਰਡ ਬਣਾਓ,
        Maan Saab ji ️
          Major dasuay",34,1 year ago
12,मुझे गर्व है की मैं आपका का प्रशंशक हूँ आपके प्रत्येक गीत हमें अपने  महान पूर्वजों की याद दिलाते हैं!,278,1 year ago
13,Charhda Punjab de 2 e kalakaar ne te dono ee Maan ne... Gurdaas Maan sb. Te Babbu Maan sb... Lots of love and respect from Lehnda Punjab...,44,1 year ago
14,Adab punjabi masterpiece ,20,4 months ago
15,Bhai maan saab di koi barabari nahi 15-20 baar sun liya ..Alag hi swag hai ustaad ji daa ...God bless you maan saab ...Lots of love from haryana,44,1 year ago
16,Masterpiece geet aah eh… bheda nu end takk yaad rhu eh geet…,2,4 months ago
17,ਜਿਹੜੇ ਜਿਹੜੇ ਬੱਬੂ ਮਾਨ ਨੂੰ ਦਿਲੋਂ ਪਸੰਦ ਕਰਦੇ ਆ ਕਰਲੋ ਲਾਇਕ ️,45,1 year ago
18,ਛਡਿਆ ਨੀਂ ਕੋਈ ਵਿਸ਼ਾ ਪੰਜਾਬਣੇ ਸਾਰੇ ਗਾ ਦਿੱਤੇ ,4,11 months ago
19,Proud to be Punjabi because we are also Punjabi: Malwa ,133,1 year ago
20,Babbumaan jindabaad ,1,1 month ago
21,ਪੂਰੀ ਗੱਲ ਬਾਤ !! No one can't beat punjabis ,34,8 months ago
22,Ustaad+legend= Babbu Mann,2,2 months ago
23,"80 ਸਾਲ ਦਾ ਬਾਬਾ ਦੀਪ ਸਿਯੋਂ ਨੇਹਰੀ ਲਿਆ ਗਿਆ ਸੀ  

Love uh maan saab ",162,10 months ago
