hostel_name,distance,facilities,url
Hostel One Notting Hill, 5.5km from city centre,Free WiFi,https://www.hostelworld.com/pwa/hosteldetails.php/Hostel-One-Notting-Hill/London/291433?from=2022-11-25&to=2022-11-28&guests=2
St Christopher's Village, 1.8km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Village/London/502?from=2022-11-25&to=2022-11-28&guests=2
Generator London, 3km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Generator-London/London/510?from=2022-11-25&to=2022-11-28&guests=2
Safestay London Kensington Holland Park, 5.9km from city centre,Free WiFi,https://www.hostelworld.com/pwa/hosteldetails.php/Safestay-London-Kensington-Holland-Park/London/93920?from=2022-11-25&to=2022-11-28&guests=2
St Christopher's Camden, 4.3km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Camden/London/505?from=2022-11-25&to=2022-11-28&guests=2
NX London Hostel, 6.1km from city centre,"Free WiFi,Free Breakfast",https://www.hostelworld.com/pwa/hosteldetails.php/NX-London-Hostel/London/15204?from=2022-11-25&to=2022-11-28&guests=2
St Christopher's Hammersmith, 7.5km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Hammersmith/London/20976?from=2022-11-25&to=2022-11-28&guests=2
Smart Hyde Park View Hostel, 5km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Smart-Hyde-Park-View-Hostel/London/8069?from=2022-11-25&to=2022-11-28&guests=2
Saint James Backpackers, 5.5km from city centre,"Free WiFi,Free Breakfast,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Saint-James-Backpackers/London/70909?from=2022-11-25&to=2022-11-28&guests=2
St Christopher's Greenwich, 7.6km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Greenwich/London/501?from=2022-11-25&to=2022-11-28&guests=2
St Christopher's Shepherds Bush, 7km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/St-Christopher-s-Shepherds-Bush/London/506?from=2022-11-25&to=2022-11-28&guests=2
"PubLove @ The Crown, Battersea", 4.7km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/PubLove-The-Crown-Battersea/London/60336?from=2022-11-25&to=2022-11-28&guests=2
"PubLove @ The Green Man, Paddington", 4.3km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/PubLove-The-Green-Man-Paddington/London/21953?from=2022-11-25&to=2022-11-28&guests=2
Park Villa, 6.3km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/Park-Villa/London/98066?from=2022-11-25&to=2022-11-28&guests=2
"PubLove @ The Exmouth Arms, Euston", 3.4km from city centre,"Free WiFi,Follows Covid-19 sanitation guidance",https://www.hostelworld.com/pwa/hosteldetails.php/PubLove-The-Exmouth-Arms-Euston/London/93796?from=2022-11-25&to=2022-11-28&guests=2
London House Hotel, 5.3km from city centre,Free WiFi,https://www.hostelworld.com/pwa/hosteldetails.php/London-House-Hotel/London/529?from=2022-11-25&to=2022-11-28&guests=2
Kip Hotel, 6.8km from city centre,Free WiFi,https://www.hostelworld.com/pwa/hosteldetails.php/Kip-Hotel/London/266789?from=2022-11-25&to=2022-11-28&guests=2
Colliers Hotel, 2.1km from city centre,Follows Covid-19 sanitation guidance,https://www.hostelworld.com/pwa/hosteldetails.php/Colliers-Hotel/London/308375?from=2022-11-25&to=2022-11-28&guests=2
Beaconsfield, 8.6km from city centre,Free WiFi,https://www.hostelworld.com/pwa/hosteldetails.php/Beaconsfield/London/11708?from=2022-11-25&to=2022-11-28&guests=2
